-71.1982,-24.8538,-1
-55.9908,-8.47953,-1
-31.106,-0.877193,-1
-39.4009,10.8187,-1
-22.8111,20.7602,-1
2.53456,28.9474,-1
13.1336,26.0234,-1
36.1751,7.89474,-1
54.1475,-20.7602,-1
64.2857,-33.6257,-1
76.7281,-33.0409,-1
87.788,-37.7193,-1
88.7097,-16.0819,-1
59.6774,9.06433,-1
44.9309,0.877193,-1
22.8111,23.6842,-1
1.6129,14.9123,-1
-29.2627,30.7018,-1
-59.6774,27.193,-1
-73.9631,-2.04678,-1
-72.1198,-61.6959,1
-61.0599,-48.8304,1
-44.0092,-31.8713,1
-33.4101,-22.5146,1
-10.8295,-11.9883,1
10.3687,-6.14035,1
27.4194,-9.06433,1
34.7926,-19.5906,1
41.2442,-29.5322,1
53.2258,-52.924,1
72.5806,-66.9591,1
84.5622,-68.1287,1
94.7005,-69.2982,1
88.7097,-79.8246,1
38.0184,-80.4094,1
-27.8802,-51.7544,1
-7.60369,-40.6433,1
7.60369,-36.5497,1
5.76037,-53.5088,1
-23.7327,-35.9649,1
